Symbol,Company,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),States (City/Town/District/Village)
3MINDIA,3M INDIA LTD.,DONATION TOWARDS JAMMU & KASHMIR DISASTER RELIEF AND REHABILITATION EFFORTS,,SCHEDULE VII (VIII),40.0,5.0,,2.5,,2.5,JAMMU & KASHMIR
3MINDIA,3M INDIA LTD.,EDUCATION: MOBILE SCIENCE LAB INITIATIVE FOR DISADVANTAGED CHILDREN BY IMPARTING INNOVATIVE SCIENCE EDUCATION AT 100 GOVERNMENT SCHOOLS IN 2 STATES -KARNATAKA & MAHARASHTRA.,,SCHEDULE VII (II),48.0,44.41,,22.2065,,22.2065,"KARNATAKA (ANEKAL),MAHARASHTRA (RANJANGAON, PUNE)"
63MOONS,63 MOONS TECHNOLOGIES LTD.,A) DN POLYTECHNIC EDUCATION TR UST (ENTREPRENEURSHIP SKILL DEVELOPMENT PROG.),,SCHEDULE VII (II),,245.0,,122.5,,122.5,ALL STATES
63MOONS,63 MOONS TECHNOLOGIES LTD.,B) SHRIMATI SAVITA MAHILA UTKARSH SEVA SANGH (PROMOTION OF EDUCATION & ENHANCEMENT OF EDUCATIONAL INFRASTRUCTURE),,SCHEDULE VII (II),,30.0,,15.0,,15.0,ALL STATES
63MOONS,63 MOONS TECHNOLOGIES LTD.,"C) JAYBHARTI FOUNDATION 50.00 (HEALTH AWARENESS ACTIVITIES, SPECIALLY FOR ECONOMICALLY UNDERPRIVILEGED WOMEN,GIRLS & CHILDREN)",,"SCHEDULE VII (I), SCHEDULE VII (III)",,50.0,,25.0,,25.0,ALL STATES
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT,,SCHEDULE VII (II),24.13,21.0,,10.5,,10.5,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)"
AARTIDRUGS,AARTI DRUGS LTD.,ENVIRONMENT,,SCHEDULE VII (IV),24.13,21.0,,10.5,,10.5,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)"
AARTIDRUGS,AARTI DRUGS LTD.,ERADICATION OF HUNGER & POVERTY,,SCHEDULE VII (I),24.13,21.0,,10.5,,10.5,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)"
AARTIDRUGS,AARTI DRUGS LTD.,HEALTH,,SCHEDULE VII (I),24.13,21.0,,10.5,,10.5,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)"
AARTIDRUGS,AARTI DRUGS LTD.,REHABILITATION IN DISASTER AFFECTED AREAS,,SCHEDULE VII (VIII),24.13,21.0,,10.5,,10.5,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)"
AARTIIND,AARTI INDUSTRIES LTD.,COMMUNITY TOWNSHIP AND LIVELIHOOD OPPORTUNITIES ERADICATING POVERTY AND HUNGER.,,SCHEDULE VII (I),30.0,30.0,,15.0,,15.0,MAHARASHTRA (MUMBAI)
AARTIIND,AARTI INDUSTRIES LTD.,"EDUCATION & VOCATIONAL TRAINING, HEALTHCARE, WOMEN EMPOWERMENT, WATER CONSERVATION, HYGIENE AND SANITATION, LIVE STOCK DEVELOPMENT RURAL DEVELOPMENT",,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (III), SCHEDULE VII (X)",302.86,302.86,,151.43,,151.43,"GUJARAT (AHMEDABAD,BHARUCH,BHAVNAGAR,KACHCHH,VALSAD),MAHARASHTRA (BOISAR,THANE)"
AARTIIND,AARTI INDUSTRIES LTD.,RELIEF & REHABILITATION,,SCHEDULE VII (VIII),27.0,27.0,,13.5,,13.5,JAMMU & KASHMIR
