Symbol,Company,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),latitude,longitude,state,district,city_town_village,Original_Raw_Location,Extractor_Method,Geocoder_Method
3MINDIA,3M INDIA LTD.,DONATION TOWARDS JAMMU & KASHMIR DISASTER RELIEF AND REHABILITATION EFFORTS,,SCHEDULE VII (VIII),40.0,5.0,,2.5,,2.5,33.6649297,75.1629584,Jammu and Kashmir,,,JAMMU & KASHMIR,regex,nominatim
3MINDIA,3M INDIA LTD.,EDUCATION: MOBILE SCIENCE LAB INITIATIVE FOR DISADVANTAGED CHILDREN BY IMPARTING INNOVATIVE SCIENCE EDUCATION AT 100 GOVERNMENT SCHOOLS IN 2 STATES -KARNATAKA & MAHARASHTRA.,,SCHEDULE VII (II),48.0,44.41,,22.2065,,22.2065,12.6889563,77.7130381,Karnataka,Bengaluru Urban,Anekal,"KARNATAKA (ANEKAL),MAHARASHTRA (RANJANGAON, PUNE)",llm,nominatim
3MINDIA,3M INDIA LTD.,EDUCATION: MOBILE SCIENCE LAB INITIATIVE FOR DISADVANTAGED CHILDREN BY IMPARTING INNOVATIVE SCIENCE EDUCATION AT 100 GOVERNMENT SCHOOLS IN 2 STATES -KARNATAKA & MAHARASHTRA.,,SCHEDULE VII (II),48.0,44.41,,22.2065,,22.2065,18.7536353,74.2445791,Maharashtra,Pune,Ranjangaon,"KARNATAKA (ANEKAL),MAHARASHTRA (RANJANGAON, PUNE)",llm,nominatim
3MINDIA,3M INDIA LTD.,EDUCATION: MOBILE SCIENCE LAB INITIATIVE FOR DISADVANTAGED CHILDREN BY IMPARTING INNOVATIVE SCIENCE EDUCATION AT 100 GOVERNMENT SCHOOLS IN 2 STATES -KARNATAKA & MAHARASHTRA.,,SCHEDULE VII (II),48.0,44.41,,22.2065,,22.2065,18.5213738,73.8545071,Maharashtra,Pune,Pune,"KARNATAKA (ANEKAL),MAHARASHTRA (RANJANGAON, PUNE)",llm,nominatim
63MOONS,63 MOONS TECHNOLOGIES LTD.,A) DN POLYTECHNIC EDUCATION TR UST (ENTREPRENEURSHIP SKILL DEVELOPMENT PROG.),,SCHEDULE VII (II),,245.0,,122.5,,122.5,52.4769889,-1.9277738,India,,,ALL STATES,regex,photon
63MOONS,63 MOONS TECHNOLOGIES LTD.,B) SHRIMATI SAVITA MAHILA UTKARSH SEVA SANGH (PROMOTION OF EDUCATION & ENHANCEMENT OF EDUCATIONAL INFRASTRUCTURE),,SCHEDULE VII (II),,30.0,,15.0,,15.0,52.4769889,-1.9277738,India,,,ALL STATES,regex,photon
63MOONS,63 MOONS TECHNOLOGIES LTD.,"C) JAYBHARTI FOUNDATION 50.00 (HEALTH AWARENESS ACTIVITIES, SPECIALLY FOR ECONOMICALLY UNDERPRIVILEGED WOMEN,GIRLS & CHILDREN)",,"SCHEDULE VII (I), SCHEDULE VII (III)",,50.0,,25.0,,25.0,52.4769889,-1.9277738,India,,,ALL STATES,regex,photon
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT,,SCHEDULE VII (II),24.13,21.0,,10.5,,10.5,22.5554159,69.9428674,Gujarat,,Kachchh,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,photon
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT,,SCHEDULE VII (II),24.13,21.0,,10.5,,10.5,19.054999,72.8692035,Maharashtra,Mumbai,,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,photon
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT,,SCHEDULE VII (II),24.13,21.0,,10.5,,10.5,19.757249,73.0931199,Maharashtra,Palghar,,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,nominatim
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT,,SCHEDULE VII (II),24.13,21.0,,10.5,,10.5,29.4496979,77.7429333,Uttar Pradesh,Muzaffarnagar,,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,nominatim
AARTIDRUGS,AARTI DRUGS LTD.,ENVIRONMENT,,SCHEDULE VII (IV),24.13,21.0,,10.5,,10.5,22.5554159,69.9428674,Gujarat,,Kachchh,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,photon
AARTIDRUGS,AARTI DRUGS LTD.,ENVIRONMENT,,SCHEDULE VII (IV),24.13,21.0,,10.5,,10.5,19.054999,72.8692035,Maharashtra,Mumbai,,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,photon
AARTIDRUGS,AARTI DRUGS LTD.,ENVIRONMENT,,SCHEDULE VII (IV),24.13,21.0,,10.5,,10.5,19.757249,73.0931199,Maharashtra,Palghar,,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,nominatim
AARTIDRUGS,AARTI DRUGS LTD.,ENVIRONMENT,,SCHEDULE VII (IV),24.13,21.0,,10.5,,10.5,29.4496979,77.7429333,Uttar Pradesh,Muzaffarnagar,,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,nominatim
AARTIDRUGS,AARTI DRUGS LTD.,ERADICATION OF HUNGER & POVERTY,,SCHEDULE VII (I),24.13,21.0,,10.5,,10.5,22.5554159,69.9428674,Gujarat,,Kachchh,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,photon
AARTIDRUGS,AARTI DRUGS LTD.,ERADICATION OF HUNGER & POVERTY,,SCHEDULE VII (I),24.13,21.0,,10.5,,10.5,19.054999,72.8692035,Maharashtra,Mumbai,,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,photon
AARTIDRUGS,AARTI DRUGS LTD.,ERADICATION OF HUNGER & POVERTY,,SCHEDULE VII (I),24.13,21.0,,10.5,,10.5,19.757249,73.0931199,Maharashtra,Palghar,,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)",llm,nominatim
