Location,Class
AHMEDABAD,State
AHMEDABAD ,State
ALL STATES,State
ANDAMAN & NICOBAR ISLANDS,State
ANDHRA PRADESH,State
ARUNACHAL PRADESH,State
ASSAM,State
AZAD NAGAR,State
BANASKANTHA DIST.,State
BANASKANTHA DIST. ,State
BHARAT NAGAR,State
BIHAR,State
CHANDIGARH,State
CHHAPI,State
CHHATTISGARH,State
DADRA & NAGAR HAVELI AND DAMAN & DIU,State
DC MODEL SCHOOL,State
DELHI,State
DOSTI ACRES & ADJOINING AREAS OF TROMBAY,State
GADKARI KHAN,State
GOA,State
GUJARAT,State
HARYANA,State
HIMACHAL PRADESH,State
INDRAD,State
JAMMU & KASHMIR,State
JHARKHAND,State
KALANAGAR ,State
KARNATAKA,State
KERALA,State
KHADI MACHINE,State
LADAKH,State
MADHYA PRADESH,State
MAHARASHTRA,State
MANIPUR,State
MEGHALAYA,State
MEHSANA DIST.,State
MEHSANA DIST. ,State
MIZORAM,State
MUM,State
MUMBAI,State
MUMBAI ,State
NAGABABA NAGAR,State
NAGALAND,State
NEPAL,State
ODISHA,State
PANJARAPOLE,State
PRASHANTI,State
PUDUCHERRY,State
PUNJAB,State
RAJASTHAN,State
RURAL AREA,State
SABARMATI,State
SECTOR 9 ,State
SHANKAR DEUL,State
SIKKIM,State
SURAT DIST.,State
TALUKA KADI,State
TALUKA KAMREJ,State
TALUKA VADGAM,State
TAMIL NADU,State
TELANGANA,State
TRIPURA,State
UTTAR PRADESH,State
UTTARAKHAND,State
VADVALI GAON,State
VASHI GAON,State
VILLAGES O,State
VISHNU NAG,State
VISHNU NAGAR,State
WEST BENGAL,State
102A/102B MATOSHREE TOWER,Unclassified
24 PARGANAS,Unclassified
AAGAR DIST.,Unclassified
AALO,Unclassified
ABHAYPUR,Unclassified
ABHILASHA IN MADHAK DIST.,Unclassified
ABHOYPUR,Unclassified
ADILABAD,Unclassified
ADITYAPUR,Unclassified
AGAR MALWA,Unclassified
AGARTALA,Unclassified
AGASSAIM,Unclassified
AGASWADI,Unclassified
AGRA,Unclassified
AHMEDABAD DIST.,Unclassified
AHMEDGARH,Unclassified
AHMEDNAGAR,Unclassified
AIROLI,Unclassified
AIZAWL,Unclassified
AJAMGARH,Unclassified
AJEETPUR,Unclassified
AJMER,Unclassified
AJOL,Unclassified
AKHAKHOL,Unclassified
AKKAKSHNA IN RANGAREDDY DIST.,Unclassified
AKOLA,Unclassified
AKOLI,Unclassified
AKRIMOTA KADIPANI,Unclassified
ALAMPUR,Unclassified
ALANDI DEVACHI,Unclassified
ALAPPAD PACHAYATH,Unclassified
ALAPPUZHA,Unclassified
ALIBAUG,Unclassified
ALIGARH,Unclassified
ALINJIVAKKAM,Unclassified
ALIPUR,Unclassified
ALIPURDUAR,Unclassified
ALIRAJPUR,Unclassified
ALLAHABAD,Unclassified
ALMORA,Unclassified
ALWA,Unclassified
ALWAR,Unclassified
ALWATAKKA,Unclassified
AMAL AGOSH BRIDGE SCHOOL,Unclassified
AMALNER,Unclassified
AMBADVET,Unclassified
AMBALA,Unclassified
AMBATTUR,Unclassified
AMBEDKAR NAGAR,Unclassified
AMBEGAON,Unclassified
AMBERNATH,Unclassified
AMBIKAPUR,Unclassified
AMER,Unclassified
AMETHI,Unclassified
AMINGAON,Unclassified
AMINGAON IN KAMRUP DIST.,Unclassified
AMLAI,Unclassified
AMMASANDRA,Unclassified
AMONA,Unclassified
AMRAVATI,Unclassified
AMRELI,Unclassified
AMRELI DIST.,Unclassified
AMRITSAR,Unclassified
AMROHA,Unclassified
AMTA,Unclassified
AMTALA,Unclassified
ANAIKOIL,Unclassified
ANAIKOIL DIST.,Unclassified
ANAMALLAIS,Unclassified
ANAND,Unclassified
ANANDPUR DIST.,Unclassified
ANANTAPUR,Unclassified
ANANTAPUR DIST.,Unclassified
ANANTHAPURAMU,Unclassified
ANANTNAG,Unclassified
ANDHERI EAST MUMBAI,Unclassified
ANDHRAPETA,Unclassified
ANEGAON,Unclassified
ANEKAL,Unclassified
ANGUL,Unclassified
ANGUL DIST.,Unclassified
ANGUL DIST.S OF ODISHA,Unclassified
ANJAR,Unclassified
ANKLESHWAR,Unclassified
ANKLESHWAR DIST.,Unclassified
ANNAVARAM IN KRISHNA DIST.,Unclassified
ANOOPSHAHR,Unclassified
ANPARA,Unclassified
ANSEIKALA,Unclassified
ANTERVEDIPALEM EAST GODAVARI,Unclassified
ANTPUR HOOGHLY,Unclassified
AP/UP:13,Unclassified
ARAGONDA,Unclassified
ARAKU,Unclassified
ARANVOYAL,Unclassified
ARAPANCH,Unclassified
ARASUR,Unclassified
ARI DONGARI MINES,Unclassified
ARIYALLUR,Unclassified
ARIYALUR,Unclassified
ARKI,Unclassified
ARVALLI,Unclassified
ARWAL,Unclassified
ASANSOL,Unclassified
ASHAPUR,Unclassified
ASHOK NAGAR,Unclassified
ASHTAMUDI,Unclassified
ASHTI,Unclassified
ASSOLNA,Unclassified
ATMURDI,Unclassified
ATUL VALSAD,Unclassified
AUNDH,Unclassified
AURAIYA,Unclassified
AURANGABAD,Unclassified
AUTHUR,Unclassified
AVADI,Unclassified
AYA NAGAR,Unclassified
AZAMGARH,Unclassified
B.CHARIALI,Unclassified
BABARPUR IN SHAHDARA,Unclassified
BABRALA,Unclassified
BADA KHET,Unclassified
BADARPUR,Unclassified
BADDI,Unclassified
BADLAPUR,Unclassified
BAGADE,Unclassified
BAGALKOTE,Unclassified
BAGAR,Unclassified
BAGHPAT,Unclassified
BAGPAT,Unclassified
BAGUNPOTA,Unclassified
BAHADURGARH,Unclassified
BAHIREWADI,Unclassified
BAHRAICH,Unclassified
BAI PADMABAI THAKKAR MARG,Unclassified
BAIGUNEY,Unclassified
BAKLITOLA,Unclassified
BAKSA DIST.,Unclassified
BALAGHAT,Unclassified
BALAGHAT DIST.,Unclassified
BALANGIR,Unclassified
BALARAMPUR,Unclassified
BALASORE,Unclassified
BALASORE DIST.,Unclassified
BALDA,Unclassified
BALESWAR,Unclassified
BALIA,Unclassified
BALJEET NAGAR,Unclassified
BALLIA,Unclassified
BALLUPET,Unclassified
BALOD,Unclassified
BALODA BAZAR,Unclassified
BALRAMPUR,Unclassified
BANARAS,Unclassified
BANASKANTHA,Unclassified
BANDENALLASANDRA,Unclassified
BANDHUP,Unclassified
BANDIPORA,Unclassified
BANDRA (EAST,Unclassified
BANJARA HILLS,Unclassified
BANKA,Unclassified
BANKAPUR,Unclassified
BANKURA,Unclassified
BANMORE,Unclassified
BANNERGHATTA,Unclassified
BANNIKUPPE GRAMA PANCHAYAT RAMANAGARA DIST.,Unclassified
BANSBERIA,Unclassified
BANSWARA,Unclassified
BARA,Unclassified
BARABANKI,Unclassified
BARAMULLA,Unclassified
BARAN,Unclassified
BARBIL,Unclassified
BARDHAMAN,Unclassified
BAREILLY,Unclassified
BAREJA,Unclassified
BARGARH,Unclassified
BARI BRAHMANA,Unclassified
BARKADA,Unclassified
BARMANA,Unclassified
BARMER,Unclassified
BARNALA,Unclassified
BARODA,Unclassified
BARPETA,Unclassified
BARSANA,Unclassified
BARSUA,Unclassified
BARWANI,Unclassified
BASANTGARH DIST.,Unclassified
BASSI,Unclassified
BASTAR,Unclassified
BASTI,Unclassified
BASTI KHARELA,Unclassified
BATHINDA,Unclassified
BATHINDA DIST.,Unclassified
BATSAR,Unclassified
BATTAL BALLIAN KHARORIAN,Unclassified
BAWAL,Unclassified
BEAS,Unclassified
BEAWAR,Unclassified
BEAWAR RAS,Unclassified
BECHARAJI,Unclassified
BEDPA,Unclassified
BEED,Unclassified
BEGEPALLI,Unclassified
BEGU SARAI,Unclassified
BEGUSARAI,Unclassified
BEHALA,Unclassified
BEHROR,Unclassified
BELAGAVI,Unclassified
BELGHARIA,Unclassified
BELLAM,Unclassified
BELLARY,Unclassified
BEMETARA,Unclassified
BENGAL,Unclassified
BENGALURU,Unclassified
BENGALURU DIST.,Unclassified
BENGALURU RURAL,Unclassified
BENGALURU URBAN,Unclassified
BENSDA SILVASSA,Unclassified
BERKHERA SETU,Unclassified
BHADOHI,Unclassified
BHADRAK,Unclassified
BHADRAWATI,Unclassified
BHADRESWAR,Unclassified
BHAGALPUR,Unclassified
BHAGALPUR DIST.,Unclassified
BHAGWANPUR,Unclassified
BHAL,Unclassified
BHANDARA,Unclassified
BHANDARA DIST.,Unclassified
BHANDRA,Unclassified
BHANDUP,Unclassified
BHANUPRATAPPUR,Unclassified
BHARAMPUR,Unclassified
BHARATPUR,Unclassified
BHARUCH,Unclassified
BHARUCH DIST.,Unclassified
BHATAPARA,Unclassified
BHATGAON,Unclassified
BHATINDA,Unclassified
BHAVNAGAR,Unclassified
BHAVNAGAR DIST.,Unclassified
BHAWANI MANDI,Unclassified
BHAWANIPUR,Unclassified
BHERAI RAMPARA IN TALUKA RAJULA,Unclassified
BHILAD DIST.,Unclassified
BHILAI,Unclassified
BHILWARA,Unclassified
BHIND,Unclassified
BHIWADI,Unclassified
BHIWANDI,Unclassified
BHIWANI,Unclassified
BHOJPUR,Unclassified
BHOOTHPUR,Unclassified
BHOPAL,Unclassified
BHUBANESWAR,Unclassified
BHUBANESWAR DIST.,Unclassified
BHUGOAN,Unclassified
BHUJ,Unclassified
BHUJ DIST.,Unclassified
BHURSAPARA,Unclassified
BHUTHAGIRI ROAD,Unclassified
BIDADI,Unclassified
BIDAR,Unclassified
BIJAPUR,Unclassified
BIJNOR,Unclassified
BIKANER,Unclassified
BIKANER DIST.,Unclassified
BILASPUR,Unclassified
BINA,Unclassified
BINDRA NAVAGARH,Unclassified
BINSAR,Unclassified
BIRBHUM,Unclassified
BIRIKALA,Unclassified
BIRIKALA DIST.,Unclassified
BIRIKALA G.P.,Unclassified
BISSAU,Unclassified
BITHOOR,Unclassified
BITTA,Unclassified
BOGMALO,Unclassified
BOISAR,Unclassified
BOKARO,Unclassified
BOLANGIR,Unclassified
BOLANI,Unclassified
BOLLARAM,Unclassified
BOLPUR,Unclassified
BONGAIGAON,Unclassified
BONGAON,Unclassified
BORAPATLA,Unclassified
BORDI DIST.,Unclassified
BORIA,Unclassified
BORIS,Unclassified
BORIVALI,Unclassified
BORRAMPALEM,Unclassified
BUDAUN,Unclassified
BUDGE BUDGE,Unclassified
BUDHNI,Unclassified
BUJARANG,Unclassified
BULANDSHAHR,Unclassified
BULDHANA,Unclassified
BUNDI,Unclassified
BUNDU,Unclassified
BURDWAN,Unclassified
BURMU,Unclassified
BURNPUR,Unclassified
BUTIBORI,Unclassified
BUXAR,Unclassified
BUZURG,Unclassified
BYCHAPURA,Unclassified
BYCULLA,Unclassified
CACHAR,Unclassified
CALICUT,Unclassified
CEMBUR AREA,Unclassified
CENTRAL DELHI,Unclassified
CHAIBASA,Unclassified
CHAKKARPUR,Unclassified
CHAMAKPU,Unclassified
CHAMAKPUR,Unclassified
CHAMARAJANAGAR,Unclassified
CHAMBA,Unclassified
CHAMOLI,Unclassified
CHAMPADANGA,Unclassified
CHAMPAI,Unclassified
CHAMPAWAT,Unclassified
CHAMPDANI,Unclassified
CHAMRAJ ESTATE THE NILGIRI DIST.,Unclassified
CHAMRAJNAGAR DIST.S,Unclassified
CHANDAULI,Unclassified
CHANDERIA,Unclassified
CHANDRAPUR,Unclassified
CHANDRAPUR DIST.,Unclassified
CHANGLANG,Unclassified
CHARADAGADIA,Unclassified
CHEMBUR,Unclassified
CHEMBUR FOR UNDERPRIVILEGED CHILDREN OF SLUMS OF TROMBAY,Unclassified
CHENNAI,Unclassified
CHERTHALA,Unclassified
CHHABRA,Unclassified
CHHAPI (RURAL AREA,Unclassified
CHHAPRA,Unclassified
CHHATARPUR,Unclassified
CHHINDWARA,Unclassified
CHHOTAUDEPUR,Unclassified
CHICKBALLAPUR,Unclassified
CHIKKABALLAPUR,Unclassified
CHIKKABALLAPUR DIST.,Unclassified
CHIKKABALLAPURA,Unclassified
