Location,Intelligent_Class
AHMEDABAD,City
ALL STATES,State
ANDAMAN & NICOBAR ISLANDS,State
ANDHRA PRADESH,State
ARUNACHAL PRADESH,State
ASSAM,State
AZAD NAGAR,Town
BANASKANTHA DIST.,District
BHARAT NAGAR,Town
BIHAR,State
CHANDIGARH,State
CHHAPI,Town
CHHATTISGARH,State
DADRA & NAGAR HAVELI AND DAMAN & DIU,State
DC MODEL SCHOOL,Town
DELHI,State
DOSTI ACRES & ADJOINING AREAS OF TROMBAY,Town
GADKARI KHAN,Town
GOA,State
GUJARAT,State
HARYANA,State
HIMACHAL PRADESH,State
INDRAD,Town
JAMMU & KASHMIR,State
JHARKHAND,State
KALANAGAR,Village
KARNATAKA,State
KERALA,State
KHADI MACHINE,Town
LADAKH,State
MADHYA PRADESH,State
MAHARASHTRA,State
MANIPUR,State
MEGHALAYA,State
MEHSANA DIST.,District
MIZORAM,State
MUM,Town
MUMBAI,City
NAGABABA NAGAR,Town
NAGALAND,State
NEPAL,Country
ODISHA,State
PANJARAPOLE,Town
PRASHANTI,Town
PUDUCHERRY,State
PUNJAB,State
RAJASTHAN,State
RURAL AREA,Town
SABARMATI,Town
SECTOR 9,Town
SHANKAR DEUL,Town
SIKKIM,State
SURAT DIST.,District
TALUKA KADI,Town
TALUKA KAMREJ,District
TALUKA VADGAM,District
TAMIL NADU,State
TELANGANA,State
TRIPURA,State
UTTAR PRADESH,State
UTTARAKHAND,State
VADVALI GAON,Village
VASHI GAON,Town
VILLAGES O,Village
VISHNU NAG,Town
VISHNU NAGAR,Village
WEST BENGAL,State
102A/102B MATOSHREE TOWER,Town
24 PARGANAS,District
AAGAR DIST.,District
AALO,District
ABHAYPUR,City
ABHILASHA IN MADHAK DIST.,District
ABHOYPUR,Town
ADILABAD,City
ADITYAPUR,Town
AGAR MALWA,District
AGARTALA,City
AGASSAIM,Village
AGASWADI,Village
AGRA,City
AHMEDABAD DIST.,District
AHMEDGARH,Town
AHMEDNAGAR,District
AIROLI,Town
AIZAWL,City
AJAMGARH,Town
AJEETPUR,Village
AJMER,City
AJOL,Village
AKHAKHOL,Town
AKKAKSHNA IN RANGAREDDY DIST.,District
AKOLA,District
AKOLI,City
AKRIMOTA KADIPANI,Town
ALAMPUR,Town
ALANDI DEVACHI,Town
