Symbol,Company,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),Resolved_State,Resolved_Location,Location_Class
20MICRONS,20 MICRONS LTD.,HEALTH CARE AND MEDICAL FACILITIES,,SCHEDULE VII (I),1.85,1.85,,,,1.85,GUJARAT,VADODARA,City
3MINDIA,3M INDIA LTD.,EDUCATION SUPPORT TWO (2) MOBILE SCIENCE LABS THAT EDUCATE 100 SCHOOLS IN TWO STATES IN INDIA VOLUNTEERING INITIATIVES WITH SCHOOLS,,SCHEDULE VII (II),61.7,42.05,,,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",42.053,KARNATAKA,ANEKAL,City
3MINDIA,3M INDIA LTD.,EDUCATION SUPPORT TWO (2) MOBILE SCIENCE LABS THAT EDUCATE 100 SCHOOLS IN TWO STATES IN INDIA VOLUNTEERING INITIATIVES WITH SCHOOLS,,SCHEDULE VII (II),61.7,42.05,,,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",42.053,KARNATAKA,BENGALURU,City
3MINDIA,3M INDIA LTD.,EDUCATION SUPPORT TWO (2) MOBILE SCIENCE LABS THAT EDUCATE 100 SCHOOLS IN TWO STATES IN INDIA VOLUNTEERING INITIATIVES WITH SCHOOLS,,SCHEDULE VII (II),61.7,42.05,,,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",42.053,MAHARASHTRA,PUNE,City
3MINDIA,3M INDIA LTD.,EDUCATION SUPPORT TWO (2) MOBILE SCIENCE LABS THAT EDUCATE 100 SCHOOLS IN TWO STATES IN INDIA VOLUNTEERING INITIATIVES WITH SCHOOLS,,SCHEDULE VII (II),61.7,42.05,,,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",42.053,MAHARASHTRA,RANJANGAON,Village
3MINDIA,3M INDIA LTD.,NATIONAL CALAMITY DISASTER RELIEF SUPPORT DURING INTENSE FLOODING IN TAMIL NADU REGION,,SCHEDULE VII (VIII),51.68,13.13,,,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",13.125,TAMIL NADU,CHENNAI,City
3MINDIA,3M INDIA LTD.,SOCIAL INNOVATION SUPPORT AN INCUBATION FUND PROGRAM FOR YOUNG INNOVATORS THROUGH A NATIONWIDE INNOVATION CHALLENGE,,SCHEDULE VII (IX),51.4,9.84,,,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",9.841,ALL STATES,ALL STATES,State
3MINDIA,3M INDIA LTD.,WOMEN EMPOWERMENT SUPPORT TWO(2) SKILLS DEVELOPMENT PROGRAMS COVERING 150 YOUNG WOMEN,,SCHEDULE VII (III),41.1,22.95,,,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",22.95,KARNATAKA,BENGALURU,City
63MOONS,63 MOONS TECHNOLOGIES LTD.,PROMOTING EDUCATION,,SCHEDULE VII (II),30.0,30.0,,,SRIMATI SAVITA MAHILA UTKARSH SANGH,30.0,GUJARAT,AHMEDABAD,City
63MOONS,63 MOONS TECHNOLOGIES LTD.,PROMOTING EDUCATION,,SCHEDULE VII (II),35.33,35.33,,,VIDYA PRASARAK MANDAL,35.33,MAHARASHTRA,THANE,District
63MOONS,63 MOONS TECHNOLOGIES LTD.,PROMOTING PREVENTIVE HEALTH CARE PROMOTING EDUCATION,,"SCHEDULE VII (I), SCHEDULE VII (II)",79.13,129.13,,,JAY BHARATI FOUNDATION,129.13,GUJARAT,SURAT,City
63MOONS,63 MOONS TECHNOLOGIES LTD.,PROMOTING PREVENTIVE HEALTHCARE AND PROMOTING EDUCATION,,SCHEDULE VII (I),15.6,13.66,,,VANVASI KALYAN ASHRAM,13.66,MAHARASHTRA,KONKAN,Town
63MOONS,63 MOONS TECHNOLOGIES LTD.,SKILL DEVELOPMENT PROGRAM PROMOTING EDUCATION,,SCHEDULE VII (II),150.0,395.0,,,D.N.POLYTECHNIC EDUCATION TRUST,395.0,GUJARAT,AHMEDABAD,City
63MOONS,63 MOONS TECHNOLOGIES LTD.,SKILL DEVELOPMENT PROGRAM PROMOTING EDUCATION,,SCHEDULE VII (II),150.0,395.0,,,D.N.POLYTECHNIC EDUCATION TRUST,395.0,GUJARAT,VAPI,Town
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT ENVIRONMENT REHABILITATION IN DISASTER AFFECTED AREAS RURAL DEVELOPMENT,,"SCHEDULE VII (II), SCHEDULE VII (IV), SCHEDULE VII (X)",167.14,175.38,AARTI FOUNDATION,87.69,"DHANVALLABH CHARITABLE TRUST,SANSKRUTIK VIKAS MANDAL,SAMARPAN FOUNDATION,SHREE SIDDHIVINAYAK SEVABHAVI SANSTHAN,INSTITUTE OF CHEMICAL TECHNOLOGY,SUDHA PRATISHTHAN,OM SHIV CONSTRUCTION,RAUT ASSOCIATES",87.69,GUJARAT,AHMEDABAD,City
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT ENVIRONMENT REHABILITATION IN DISASTER AFFECTED AREAS RURAL DEVELOPMENT,,"SCHEDULE VII (II), SCHEDULE VII (IV), SCHEDULE VII (X)",167.14,175.38,AARTI FOUNDATION,87.69,"DHANVALLABH CHARITABLE TRUST,SANSKRUTIK VIKAS MANDAL,SAMARPAN FOUNDATION,SHREE SIDDHIVINAYAK SEVABHAVI SANSTHAN,INSTITUTE OF CHEMICAL TECHNOLOGY,SUDHA PRATISHTHAN,OM SHIV CONSTRUCTION,RAUT ASSOCIATES",87.69,GUJARAT,BHARUCH,City
