Location,Class
ALL STATES,State
ANDAMAN & NICOBAR ISLANDS,State
ANDHRA PRADESH,State
ARUNACHAL PRADESH,State
ASSAM,State
BIHAR,State
CHANDIGARH,State
CHHATTISGARH,State
DADRA & NAGAR HAVELI AND DAMAN & DIU,State
DELHI,State
GOA,State
GUJARAT,State
HARYANA,State
HIMACHAL PRADESH,State
JAMMU & KASHMIR,State
JHARKHAND,State
KARNATAKA,State
KERALA,State
LADAKH,State
LAKSHADWEEP,State
MADHYA PRADESH,State
MAHARASHTRA,State
MANIPUR,State
MEGHALAYA,State
MIZORAM,State
NAGALAND,State
ODISHA,State
PUDUCHERRY,State
PUNJAB,State
RAJASTHAN,State
SIKKIM,State
TAMIL NADU,State
TELANGANA,State
TRIPURA,State
UTTAR PRADESH,State
UTTARAKHAND,State
WEST BENGAL,State
(2 DIST.S,Unclassified
24 PARGANAS,Unclassified
ABDIMANDI,Unclassified
ABDULLAPUR,Unclassified
ABHOYPUR,Unclassified
ABU ROAD,Unclassified
ADILABAD,Unclassified
ADIPUR,Unclassified
ADITYAPUR,Unclassified
AGAR MALWA,Unclassified
AGARTALA,Unclassified
AGRA,Unclassified
AHMEDABAD,Unclassified
AHMEDGARH,Unclassified
AHMEDNAGAR,Unclassified
AIROLI,Unclassified
AIZAWL,Unclassified
AJAMGARH,Unclassified
AJEETPUR,Unclassified
AJMER,Unclassified
AJNI,Unclassified
AKBARPUR,Unclassified
AKOLA,Unclassified
ALAPPUZHA,Unclassified
ALIBAUG,Unclassified
ALIGARH,Unclassified
ALIPUR,Unclassified
ALIPURDUAR,Unclassified
ALIRAJPUR,Unclassified
ALLAHABAD,Unclassified
ALLEPPEY,Unclassified
ALMORA,Unclassified
ALOK,Unclassified
ALWA,Unclassified
ALWAR,Unclassified
AMATALA,Unclassified
AMBAKKAM,Unclassified
AMBALA,Unclassified
AMBERNATH,Unclassified
AMBHETA,Unclassified
AMEERPET,Unclassified
AMELIA,Unclassified
AMER,Unclassified
AMETHI,Unclassified
AMINGAON,Unclassified
AMLAI,Unclassified
AMMASANDRA,Unclassified
AMRAVATI,Unclassified
AMRELI,Unclassified
AMRITSAR,Unclassified
AMROHA,Unclassified
ANAIKATTI,Unclassified
ANAND,Unclassified
ANANDPUR,Unclassified
ANANGPUR,Unclassified
ANANTHAPURAMU,Unclassified
ANANTNAG,Unclassified
ANDHERI,Unclassified
ANDHRA PRADESH (8 DIST.S,Unclassified
ANDHRA PRADESH (9 DIST.S,Unclassified
ANDIPATTI,Unclassified
ANDUL,Unclassified
ANEKAL,Unclassified
ANGAMALY,Unclassified
ANGUL,Unclassified
ANJAR,Unclassified
ANKLESHWAR,Unclassified
ANNAMALAI,Unclassified
ANNARAM,Unclassified
ANTERVEDIPALEM,Unclassified
ARAKU,Unclassified
ARAPUKOTTAI,Unclassified
ARARIA,Unclassified
ARIYALUR,Unclassified
ARNAVOYAL,Unclassified
AROOKUTTY,Unclassified
ARUNACHAL PRADESH (2 DIST.S,Unclassified
ARUNTHAVAPURAM,Unclassified
ARVALLI,Unclassified
ARWAL,Unclassified
ASANSOL,Unclassified
ASAOTI,Unclassified
ASHRAM,Unclassified
ASHTA,Unclassified
ASHTAMUDI,Unclassified
ASSAM (11 DIST.S,Unclassified
ATHIPET,Unclassified
ATMURDI,Unclassified
ATTAPADI,Unclassified
ATTINGAL,Unclassified
AURAIYA,Unclassified
AURANGABAD,Unclassified
AURANJPUR,Unclassified
AVADI,Unclassified
AYA NAGAR,Unclassified
AYODHYA,Unclassified
AZAMGARH,Unclassified
AZIZ NAGAR,Unclassified
BACHUPALLY,Unclassified
BADARPUR,Unclassified
BADDI,Unclassified
BADGAM,Unclassified
BADHOI,Unclassified
BADLAPUR,Unclassified
BADLI,Unclassified
BAGALKOTE,Unclassified
BAGEPALLI,Unclassified
BAGHEY,Unclassified
BAGPAT,Unclassified
BAHADOLI,Unclassified
BAHADURGARH,Unclassified
BAHRAICH,Unclassified
BALAGHAT,Unclassified
BALANGIR,Unclassified
BALARAMPUR,Unclassified
BALASORE,Unclassified
BALESWAR,Unclassified
BALIA,Unclassified
BALOD,Unclassified
BALODA,Unclassified
BALODA BAZAR,Unclassified
BALOTRA,Unclassified
BALRAMPUR,Unclassified
BANASKANTHA,Unclassified
BANASTHALI,Unclassified
BANDHWARI,Unclassified
BANDIPORA,Unclassified
BANDIPUR,Unclassified
BANKURA,Unclassified
BANMORE,Unclassified
BANSWARA,Unclassified
BANTUPALLI,Unclassified
BARABANKI,Unclassified
BARAGARH,Unclassified
BARAMATI,Unclassified
BARAMULLA,Unclassified
BARAN,Unclassified
BARASAT,Unclassified
BARBANKI,Unclassified
BARBIL,Unclassified
BARDEZ,Unclassified
BARDHAMAN,Unclassified
BAREILLY,Unclassified
BARGARH,Unclassified
BARIPADA,Unclassified
BARMANA,Unclassified
BARMER,Unclassified
BARNALA,Unclassified
BARODA,Unclassified
BAROTIWALA,Unclassified
BARPETA,Unclassified
BARRACKPORE,Unclassified
BARWANI,Unclassified
BASTAR,Unclassified
BASTI,Unclassified
BATHINDA,Unclassified
BAWAL,Unclassified
BAWANA,Unclassified
BAZARGAON,Unclassified
BAZPUR,Unclassified
BEAWAR,Unclassified
BECHARAJI,Unclassified
BEED,Unclassified
BEGU SARAI,Unclassified
BEGUSARAI,Unclassified
BEHROR,Unclassified
BELAGAVADI,Unclassified
BELAGAVI,Unclassified
BELLARY,Unclassified
BELLEM,Unclassified
BEMETARA,Unclassified
BENARAS,Unclassified
BENGAL,Unclassified
BENGALURU,Unclassified
BENGALURU URBAN,Unclassified
BERCHA,Unclassified
BERWANI,Unclassified
BETKUCHI,Unclassified
BETUL,Unclassified
BHADARVA,Unclassified
BHADOHI,Unclassified
BHADRADRI KOTHAGUDEM,Unclassified
