Location,Class,Intelligent_Class
ALL STATES,State,State
ANDAMAN & NICOBAR ISLANDS,State,State
ANDHRA PRADESH,State,State
ARUNACHAL PRADESH,State,State
ASSAM,State,State
BIHAR,State,State
CHANDIGARH,State,State
CHHATTISGARH,State,State
DADRA & NAGAR HAVELI AND DAMAN & DIU,State,State
DELHI,State,State
GOA,State,State
GUJARAT,State,State
HARYANA,State,State
HIMACHAL PRADESH,State,State
JAMMU & KASHMIR,State,State
JHARKHAND,State,State
KARNATAKA,State,State
KERALA,State,State
KHERWADI,State,Town
LADAKH,State,State
LAKSHADWEEP,State,State
MADHYA PRADESH,State,State
MAHARASHTRA,State,State
MANIPUR,State,State
MEGHALAYA,State,State
MIZORAM,State,State
MUMBAI),State,City
NAGALAND,State,State
NEPAL,State,Country
ODISHA,State,State
PUDUCHERRY,State,State
PUNJAB,State,State
RAJASTHAN,State,State
SIKKIM,State,State
TAMIL NADU,State,State
TELANGANA,State,State
TRIPURA,State,State
UTTAR PRADESH,State,State
UTTARAKHAND,State,State
WEST BENGAL,State,State
24 PARGANAS,Unclassified,District
AAGAR,Unclassified,Town
AALO,Unclassified,District
AATHANOOR,Unclassified,Town
ABDIMANDI,Unclassified,Village
ABHAYPUR,Unclassified,City
ABHOYPUR,Unclassified,Town
ABU ROAD,Unclassified,Town
ADILABAD,Unclassified,City
ADIPUR,Unclassified,Town
ADITYAPUR,Unclassified,Town
ADJAAL,Unclassified,Town
AGAR MALWA,Unclassified,District
AGASWADI,Unclassified,Village
AGRA,Unclassified,City
AHMEDABAD,Unclassified,City
AHMEDGARH,Unclassified,Town
AHMEDNAGAR,Unclassified,District
AIROLI,Unclassified,Town
AIZAWL,Unclassified,City
AJEETPUR,Unclassified,Village
AJMER,Unclassified,City
AJNI,Unclassified,Town
AKOLA,Unclassified,District
ALAPPUZHA,Unclassified,District
ALIBAUG,Unclassified,Town
ALIGARH,Unclassified,District
ALINJIVAKKAM,Unclassified,Village
ALIPUR,Unclassified,City
ALIPURDUAR,Unclassified,City
ALIRAJPUR,Unclassified,District
ALLAHABAD,Unclassified,City
ALLEPPEY,Unclassified,Town
ALMORA,Unclassified,District
ALOK,Unclassified,Town
ALWAR,Unclassified,District
AMARWARA,Unclassified,City
AMBALA,Unclassified,City
AMBATTUR,Unclassified,Town
AMBEDKAR NAGAR,Unclassified,District
AMBERNATH,Unclassified,Town
AMDANDA,Unclassified,City
AMEERPET,Unclassified,Town
AMELIA,Unclassified,Town
AMER,Unclassified,Town
AMETHI,Unclassified,District
AMINGAON,Unclassified,Town
AMINGAON IN KAMRUP DIST.,Unclassified,District
AMLAI,Unclassified,Town
AMMASANDRA,Unclassified,Village
AMRAVATI,Unclassified,District
AMRELI,Unclassified,District
AMRITSAR,Unclassified,City
AMROHA,Unclassified,District
AMTALA,Unclassified,City
ANAGAPUTHUR,Unclassified,Town
ANAIKATTI,Unclassified,Village
ANAIKOIL,Unclassified,Village
ANAND,Unclassified,City
ANANDDHAM,Unclassified,Town
ANANTHAPURAMU,Unclassified,Town
ANDHERI,Unclassified,Town
ANDHERI EAST MUMBAI,Unclassified,Town
ANDUL,Unclassified,Town
ANEGAON,Unclassified,Village
ANEKAL,Unclassified,City
ANGRA,Unclassified,Town
ANGUL,Unclassified,District
ANJAR,Unclassified,Town
ANKALAS,Unclassified,Town
ANKLESHWAR,Unclassified,Town
ANNAMALAI,Unclassified,Town
ANNOPSHAHR,Unclassified,Town
ANTERVEDIPALEM EAST GODAVARI,Unclassified,Town
ANUPPUR,Unclassified,District
ARADHANADHAM,Unclassified,Town
ARAKU,Unclassified,Town
ARARIA,Unclassified,Town
ARI DONGARI MINES,Unclassified,Town
ARIYALUR,Unclassified,District
ARNAVOYAL,Unclassified,Town
ARVALLI,Unclassified,Town
ARWAL,Unclassified,District
ASANSOL,Unclassified,City
ASHOK NAGAR,Unclassified,Town
ASHRAM,Unclassified,Town
ASHTA,Unclassified,City
ASHTI,Unclassified,District
ASRONDI,Unclassified,Town
ATHOLA,Unclassified,Town
ATMURDI,Unclassified,Village
AURAIYA,Unclassified,District
AURANGABAD,Unclassified,City
AYA NAGAR,Unclassified,Town
AZAD NAGAR,Unclassified,Town
AZAMGARH,Unclassified,District
B.CHARIALI,Unclassified,Town
BADARPUR,Unclassified,Town
BADDI,Unclassified,District
BADHOI,Unclassified,Town
BADLAPUR,Unclassified,Town
BADNAGAR,Unclassified,Village
BADWANI,Unclassified,Village
BAGANPARA,Unclassified,District
BAGHPAT,Unclassified,District
BAGODAR,Unclassified,District
BAGPAT,Unclassified,Village
BAGUNPOTA,Unclassified,Town
BAHADURGARH,Unclassified,City
BAIKAMPADY,Unclassified,Village
BAJPUR,Unclassified,City
BAKSA,Unclassified,District
BALAGHAT,Unclassified,District
BALANGIR,Unclassified,District
BALARAMPUR,Unclassified,District
BALASORE,Unclassified,Town
BALESWAR,Unclassified,Town
BALIJAN,Unclassified,Village
BALOD,Unclassified,District
BALODA BAZAR,Unclassified,District
BALRAMPUR,Unclassified,District
BANARAS,Unclassified,City
BANASKANTHA,Unclassified,District
BANASTHALI,Unclassified,Town
BANASWARA,Unclassified,Town
BANDIPORA,Unclassified,Town
